Datum,Uhrzeit,Thema,Standort,Teilnehmer,sheet_name
2021-03-26 00:00:00,15.00-16.00,"Austritt aus der Istanbuler Konvention ist nicht akzeptabel, sie wird zurückkommen",Schevenbrücke/Europapl.,50,2021
2021-03-27 00:00:00,12.05-13.05,Mahnwache/Kundgebung für Naturschutz an der Höffner Baustelle,Prüner Schlag/Höffner,50 - 100,2021
2021-03-27 00:00:00,10.00-13.00,Kieler Friedensforum,Kl. Kuhberg/Knooper Weg,3,2021
2021-03-28 00:00:00,14.00-16.00,Eure Krisen-nicht auf unserem Nacken,Aufzug/Hauptbahnhof,40,2021
2021-03-28 00:00:00,14.00-17.00,10. Jahrestag der syrischen Revolution,Stresemannplatz,50 - 100,2021
2021-03-28 00:00:00,10.30-17.30,Falun Gong-Verbrechen der kommunistischen Partei Chinas aufdecken,neben Nordwind,8,2021
2021-03-29 00:00:00,17.00-19.00,Für Lebensfreude + Selbstbestimmung - gegen den Lockdown,Exerzierplatz/Aufzug,100,2021
2021-03-30 00:00:00,12.00-14.00,Zukunft sichern - IG Metall Tarifbewegung Metall- und Elektroindustrie,Germaniahafen/Aufzug,100,2021
2021-03-30 00:00:00,12.00-14.00,Demonstration für Wirtschaft und Pflege,Landtag,100,2021
2021-03-31 00:00:00,15.00-17.00,Trans Day of Visibility,"Kiellinie, Rückseite Landtag",5-10,2021
2021-04-01 00:00:00,18.30-19.45,Mega-Lockdown? Nicht mit uns,Exer/Aufzug,,2021
2021-04-03 00:00:00,11.00-13.00,Ostermarsch 2021/Menschenkette,"Aufzug, Menschenkette",100 - 200,2021
2021-04-04 00:00:00,,"Freiheit auf zwei Rädern, Gegen Kontaktbeschränkungen, gegen Motorradfahrverbote",Rastorfer Kreuz,entfällt,2021
2021-04-04 00:00:00,10.30-18.00,Falun Gong-Verbrechen der kommunistischen Partei Chinas aufdecken,Kiellinie neben Nordwind,3-8,2021
2021-04-04 00:00:00,14.00-16.00,Freiheit für Abdullah Öcalan,Platz der Matrosen,30,2021
2021-04-05 00:00:00,17.00-18.30,Spaziergang für unsere Grundrechte,Exer/Aufzug,100,2021
2021-04-06 00:00:00,12.00-14.00,für Wirtschaft und Pflege,Landtag,100,2021
2021-04-08 00:00:00,18:30-20:00,"Für Grundgesetz -
Gegen den Lockdown-Wahnsinn",Exer/Aufzug,100,2021
2021-04-12 00:00:00,17:00-18:45,"Für ein selbstbestimmtes,
eigenverantwortliches Leben
ohne Lockdown-Bevormundung",Exer/Aufzug,100,2021
2021-04-13 00:00:00,18:00-20:00,"Gegen Rechtsextremismus, Rassismus und Antisemitismus",Rathausplatz,250,2021
2021-04-13 00:00:00,12:00-14:00,Für Wirtschaft und Pflege,Landeshaus,100,2021
2021-04-15 00:00:00,18:30-20:30,Ist Schweigen verhältnismäßig?,Exer/Aufzug,50-150,2021
2021-04-16 00:00:00,17:00-20:00,Für eine solidarische Lösung der Krisen,Vinetaplatz,50,2021
2021-04-16 00:00:00,16:00-17:30,No Covid! Exponentielles Wachstum wirklich stoppen! Jetzt auf die Wissenschaft hören!,Rathausplatz,100,2021
2021-04-16 00:00:00,14:30-16:00,Jugend gegen Corona,Schevenbrücke,35-40,2021
2021-04-17 00:00:00,12.00-15.00,Schluß mit Lockdown,Reventlouwiese/Aufzug,200,2021
2021-04-17 00:00:00,16.00-18:00,Schluß mit Lockdown,Reventlouwiese,200,2021
2021-04-17 00:00:00,14.00-18.00,"Ein Jahr Pandemie-Lockdown, es reicht",Reventlouwiese/Aufzug und Versammlung,100+,2021
2021-04-17 00:00:00,10.00-11:30,Es reicht uns mit dem Lockdown!,Exer/Aufzug,500,2021
2021-04-17 00:00:00,13:00-16:00,Solidarisch kämpfen statt Verschwörungsmärchen,Aufzug/B.Minetti-Platz,100,2021
2021-04-17 00:00:00,10:00 - 18:00,Verfolgung von Falun Gong,Revenlouwiese neben Nordwind,3-8,2021
2021-04-18 00:00:00,14:00-18:00,Profiteure der Corona-Krise,Kiellinie/Landtag,20,2021
2021-04-19 00:00:00,17:00-18:45,Gegen die extrem unverhältnismäßigen Corona-Maßnahhmen,Aufzug/Exerzierplatz,100,2021
2021-04-20 00:00:00,13:00-15:00,Ohne uns geht nix - Reinigungskräfte machen auf sich aufmerksam,Platz der Kieler Matrosen,50,2021
2021-04-21 00:00:00,09:30-12:30,Tarifverhandlungen ServiceSternNord/Gewerkschaft der Servicekräfte,Hospitalstarße/Arnold Heller-Straße,300,2021
2021-04-21 00:00:00,09.30-10:30,Tarifvertrag Studentische Beschäftigte/Forderungen an Lasse Petersdotter,Finanzministerium,10,2021
2021-04-22 00:00:00,08:30-12:00,Antirepression und solidarische Prozessbegleitung,Landgericht,50,2021
2021-04-22 00:00:00,18:30-20:00,Mega-Lockdown? Nicht mit uns,Exer/Aufzug,100,2021
2021-04-24 00:00:00,14:00-16:00,Gegen den Abschiebeknast in Glückstadt,Aufzug/Vinetaplatz,100,2021
2021-04-24 00:00:00,12:05-13:05,Mahnwache/Kundgebung für Naturschutz an der Höffner Baustelle,Prüne/Höffner,50 - 100,2021
2021-04-26 00:00:00,17:00-19:00,Für Lebensfreude und Selbst-bestimmung/Gegen den Lockdown-Wahnsinn,Aufzug/Exerzierplatz,100,2021
2021-04-28 00:00:00,13:00-17:00,Lieferkettengesetz,Kiel/Landtag,3,2021
2021-04-29 00:00:00,18:45-19:45,Mega-Lockdown? Nicht mit uns!,Aufzug/Exerzierplatz,150,2021
2021-04-30 00:00:00,10.00-12.00,Stattgebende Klage des BverfG von Fridays for Future gegen das KlimaschutzG der Bundesregierung,Rathausplatz,20-30-,2021
2021-04-30 00:00:00,19:00-22:00,Critical Mass - Fahr Rad!,Aufzug/Platz der Kieler Matrosen,100,2021
2021-04-30 00:00:00,14:00-16:00,stadtpolitische Themen,Rathausplatz,50,2021
2021-05-01 00:00:00,09:00-14:00,Tag der Arbeit,Exerzierplatz/Aufzug,350 Fahrzeuge,2021
2021-05-01 00:00:00,10:00-15:00,Freiheit-Religion,Rathausplatz,15,2021
2021-05-01 00:00:00,12:30-16:00,Heraus zum 1. Mai!,Aufzug/Platz der Kieler Matrosen,300,2021
2021-05-01 00:00:00,16:00-17:00,Silent Line zur Covid-Politik/No Covid,Rathausplatz,100,2021
2021-05-03 00:00:00,17:15-19:15,Für Lebensfreude und Selbstbestimmung und die bedingungslose Beendigung des Lockdowns,Aufzug/Exerzierplatz,100,2021
2021-05-05 00:00:00,15:00-17:00,Protesttag zur Gleichstellung von Menschen mit Behinderung,"Aufzug/Bahnhofsvor-
-platz",50,2021
2021-05-06 00:00:00,19:00-20:30,Zurück zum normalen Leben!,Aufzug/Bernhard Herms-Weg,200,2021
2021-05-07 00:00:00,14.00-16.30,Unzureichender Klimaschutz/SPD-Parteitag,Kleiner Kuhberg,100,2021
2021-05-08 00:00:00,14.00-17.00,Aktuelle Lage in Kurdistan/Thema Corona,Hermann Weigmann-Str. 20,20,2021
2021-05-10 00:00:00,17.00-18.00,Spaziergang für unsere Grundrechte,Aufzug/Exerzierplatz,20-50,2021
2021-05-11 00:00:00,19:00-20:00,Lichterkette zur Einhaltung der Istanbul-Konvention anlässlich der Jahrestags der Unterzeichnung,Rathausplatz,100,2021
2021-05-12 00:00:00,16:00-18:00,Tag der Pflege,Asmus Bremer-Platz/Holstenstraße,50,2021
2021-05-13 00:00:00,12.00-14.00,Wirtschaft und Pflege,Landtag,100,2021
2021-05-14 00:00:00,12.00 - 18.00,"Klimagerechtigkeit, FFF, Aktionstag gegen Commerzbank-für Divestment, gegen Kohle",Asmus-Bremer-Platz,10-50,2021
2021-05-15 00:00:00,12:30-15.30,Kieler Dragwalk,Aufzug/Blücherplatz,30,2021
2021-05-15 00:00:00,14:00-18:00,Kiel steht auf,Aufzug/Reventlouwiese,900,2021
2021-05-15 00:00:00,10:00-14:00,Für wissenschaftliche Evidenz,Aufzug/Rathausplatz,300,2021
2021-05-15 00:00:00,17:00-21:00,Für wissenschaftliche Evidenz,Aufzug/Bernhard Harms-Weg,300,2021
2021-05-15 00:00:00,15:00-18:00,?,Exerzierplatz,?,2021
2021-05-15 00:00:00,10.00-13.00,Für eine solidarische Stadt,Aufzug/Platz der Kieler Matrosen,1000,2021
2021-05-15 00:00:00,11:00-17:00,Für eine solidarische Stadt,Ostseekai/Aufzug Platz der Matrosen,100/1000,2021
2021-05-15 00:00:00,11.00-17.00,Kiel bleibt bunt,Asmus Bremer-Platz,100,2021
2021-05-15 00:00:00,12:00-17:00,Solidarisch in Kiel,Bootshafen,50,2021
2021-05-15 00:00:00,12:00-17:00,Das ist unsere Stadt - Hier ist kein Platz für Nazis!,Rathausplatz,100,2021
2021-05-15 00:00:00,14.00-16.00,Freiheit ist alternativlos,Aufzug/Bernhard Harms -Weg,15-300,2021
2021-05-15 00:00:00,14:00-17.00,Wir halten zusammen!,Aufzug/Wilhelmplatz,200 - 300,2021
2021-05-15 00:00:00,16.00-18.00,N. N.,Nordmarksportfeld,?,2021
2021-05-15 00:00:00,11.00-17.00,Für eine solidarische Stadt,Vinetaplatz,100,2021
2021-05-15 00:00:00,11:00-17:00,Aufstehen gegen Rassismus - Frühlingserwachen - Kundgebung,Fördeblick-Park,100,2021
2021-05-15 00:00:00,17.00-00.00,Für eine freundliche und schöne Welt,Moorteichwiese,2000,2021
2021-05-15 00:00:00,12.00-16.00,Weg mit § 218 und §219a StGB,Schevenbrücke,10-15,2021
2021-05-15 00:00:00,,Gegenden Angriff der des türkischen Militärs in Kurdistan (Irak) und Isolation von Abdullah Öcalan,Aufzug/ Platz der Matrosen,100,2021
2021-05-15 00:00:00,15.00-18.00,Die aktuelle Lage in Palästina,,,2021
2021-05-15 00:00:00,10:00 - 18:00,Verfolgung von Falun Gong,Reventlouwiese neben Nordwind,3-8,2021
2021-05-15 00:00:00,14.00-19-00,Solidarität mit Israel-gegen jeden Antisemitismus,Asmus-Bremer-Platz/Holstenstraße,50,2021
2021-05-17 00:00:00,15.00-17.00 ,Hoffnung schenken in der Krise,Bootshafen,7-10,2021
2021-05-17 00:00:00,17.00-18.00,Spaziergang für unsere Grundrechte,Aufzug/Exerzierplatz,30,2021
19.05.2021,9.00-13.00,Frauenhausfinanzierung sichern,"Fahrraddemo, Landtag",20-40,2021
20.05.2021,9.00-13.00,Frauenhausfinanzierung sichern,"Fahrraddemo, Landtag",20-40,2021
21.05.2021,9.00-13.00,Frauenhausfinanzierung sichern,"Fahrraddemo, Landtag",20-40,2021
2021-05-20 00:00:00,10.00-11.30,Für bessere Bezahlung-TVÖD auch für den Service im Städtischen KKH,Städtisches KKH,70,2021
2021-05-21 00:00:00,,Gegen Gentrifizierung in Gaarden,"Auf der Straße und auf dem Gehweg vor der Iltisstraße 34, 24143 Kiel",30-50,2021
2021-05-22 00:00:00,,EU-Mercosur-Abkommen,An der Reventloubrücke,6,2021
2021-05-22 00:00:00,10:00 - 18:00,Verfolgung von Falun Gong,Reventlouwiese neben Nordwind,3-8,2021
2021-05-22 00:00:00,14.00-19.00,Solidarität mit Israel-gegen jeden Antisemitismus,Hafenstraße,50,2021
2021-05-22 00:00:00,,Die aktuelle Lage in Palästina,Asmus-Bremer-Platz,200,2021
2021-05-22 00:00:00,,Jugend gegen die Krise,Werftpark und Aufzug,50,2021
2021-05-24 00:00:00,10.00 - 16.00,Autofreie Kiellinie - Kiel als Erholungsort,Nördliche Kiellinie,300,2021
2021-05-25 00:00:00,,Black lifes Matter-Gedenken an den Mord von George Floyd,Rathausplatz,15,2021
2021-05-29 00:00:00,12:05-13:05,Mahnwache Naturschutz Höffner-Baustelle,Prüne/Höffner,50-100,2021
2021-05-29 00:00:00,12.30-14.00,"Solidarität mit der HDP, Demokratie und Freiheit in der Türkei",Schevenbrücke,80-100,2021
2021-05-29 00:00:00,15.00-17.00,Stoppt die Masken- und Testpflicht im Schulunterricht,Schevenbrücke,40,2021
2021-05-29 00:00:00,15.00-16.30,Black lives still matter - Aufstehen gegen rassistische Polizeigewalt,Aufzug/Wilhelmplatz,10-100,2021
2021-05-31 00:00:00,17.00-18.00,Spaziergang für unsere Grundrechte,Aufzug/Exerzierplatz,30-50,2021
2021-06-02 00:00:00,14.00-16.30,Kritische Männlichkeit,Rathausplatz,50-75,2021
2021-06-04 00:00:00,14.00-17.00,"Verkehrswende, Südspange, geplanter Ausbau der A21, Tag des Fahrrads",Aufzug/Exerzierplatz,500,2021
2021-06-06 00:00:00,15.00-19.00,Verkehrswende,Reventlouwiese/Kiellinie,30,2021
2021-06-07 00:00:00,17.00-18-00,Spaziergang für unsere Grundrechte,Aufzug/Exerzierplatz,30,2021
2021-06-09 00:00:00,12.30-14.30,"FFF, Klimaschutz, Offener Brief der BI Klimanotstand Kiel und Unterstützer*innen an den OB",Rathausplatz,50,2021
2021-06-09 00:00:00,11.30-13.30,IG Metall Warnstreik Kfz-Tarifrunde 2021,Edisonstraße 44/MAN,30-50,2021
2021-06-10 00:00:00,15.30-17.00,Die Kosten der Krise fair und gerecht verteilen - Gleicher Lohn für alle Krankenhaus-Beschäftigten - Tariflohn auch für den Service,Schloßplatz,50,2021
2021-06-12 00:00:00,13.00-18.00,Tag für die Abschaffung der Bundeswehr,Brandenburger Straße vor der Brandtauchermole,10-20,2021
2021-06-12 00:00:00,17.30-21.00,Meine Stadt und kein Zuhaus. Obdachlosigkeit,Medusastraße 14,100,2021
2021-06-14 00:00:00,17.00-18.00,Spaziergang für unsere Grundrechte,Aufzug/Exerzierplatz,40,2021
2021-06-16 00:00:00,12.00-14.00,Protest anlässlich der Gesundheitsministerkonferenz,"Städtisches Krankenhaus, Chemnitzstr. 33",20,2021
2021-06-18 00:00:00,16.00-18.00,Marineübungen Baltops/Defender,Vorplatz Flandernbunker und Gorch Fock-Mole,50,2021
2021-06-18 00:00:00,12.00-14.00,Mahnwache FFF für mehr Klimaschutz,Landtag,20-30,2021
2021-06-19 00:00:00,14.00-17.00,Menschenrechte sind unverhandelbar,Aufzug/Sophienblatt (CDU),300,2021
2021-06-19 00:00:00,17.00 -20.00,Pride month-quer durchs Land-Grundgesetz für Alle,Fahrrademo,250,2021
2021-06-19 00:00:00,13.00-19.00,"Gegen den Angriff des türkischen Mlilitärs  im irakischen Kurdistan, kurdische Lager (Mohmur) und Isolation Abdullah Öcalan",Platz der Kieler Matrosen,30,2021
2021-06-19 00:00:00,13.00-19.00,"Gegen den Angriff des türkischen Mlilitärs  im irakischen Kurdistan, kurdische Lager (Mohmur) und Isolation Abdullah Öcalan",Platz der Kieler Matrosen,30,2021
2021-06-19 00:00:00,11.00-13.30,Aufklärung Gefahren von 5G,Platz der Kieler Matrosen/Europaplatz/Holstenstraße/Holstenbrüc-ke,10-20,2021
2021-06-20 00:00:00,11.00-12.30,Sozialpolitischer Frühschoppen des Sozialverbandes VdK Nord e. V.,MS Stadt Kiel,17,2021
2021-06-21 00:00:00,17.00-18.00,Spaziergang für unsere Grundrechte,Aufzug/Exerzierplatz,30-50,2021
2021-06-25 00:00:00,12.00-14.00,Dringlichkeit des Klimaschutzes und Kritik an unzureichender Klimapolitik,Landtag,5-50,2021
2021-06-28 00:00:00,,Spaziergang für unsere Grundrechte,Aufzug/Exerzierplatz,40,2021
2021-07-02 00:00:00,12.00-14.00,Mahnwache FFF für mehr Klimaschutz,Landtag,50,2021
2021-07-03 00:00:00,15.00-17.30,Klimaschutz in Norddeutschland - Wir müssen jetzt handeln!,Kaistraße/Hauptbahnhof,20-40,2021
2021-07-03 00:00:00,14.00-18.00,Lieber anders bleibt!,Aufzug/Vinetaplatz,250,2021
2021-07-05 00:00:00,17.00-18.00,Spaziergang für unsere Grundrechte,Aufzug/Exerzierplatz,30-50,2021
2021-07-09 00:00:00,12.00-22.00,Parks statt Parkplätze,Metzstraße,100,2021
2021-07-09 00:00:00,14.00-22.00,Parks statt Parkplätze,Adalbertstraße,100,2021
2021-07-09 00:00:00,14.00-18.00,"FFF, Klimaschutz, Anti-Kreuzfahrt",",",500,2021
2021-07-10 00:00:00,12.30-14.30,Christopher Street Day Kiel 2021,Aufzug/Bootshafen,800,2021
2021-07-11 00:00:00,,Plakat Nikolaikirche,Nikolaikirche,,2021
2021-07-12 00:00:00,17.00-18.00,Spaziergang für unsere Grundrechte,Aufzug/Exerzierplatz,20,2021
2021-07-14 00:00:00,17.00-20.00,"#GleicheBrustfuerAlle - Entsexualisierung der weib-
lichen Brust in der öffentlichkeit",Schrevenpark,2-50,2021
2021-07-15 00:00:00,19.00-20.30,Küstentour Robert Habeck,Blauer Engel,50,2021
2021-07-15 00:00:00,11.00-16.00,IG Metall Warnstreik ,Kieler Flughafen,50,2021
2021-07-16 00:00:00,7.00-11.00,IG Metall Warnstreik ,Kieler Flughafen,50,2021
2021-07-16 00:00:00,12.00-14.00,"Kritik an Verfehlung der Klimaziele, Bundestagswahl",Kiellinie/Landtag,5-50,2021
2021-07-19 00:00:00,17.00-18.00,Spaziergang für unsere Grundrechte,Aufzug/Exerzierplatz,20,2021
2021-07-20 00:00:00,12.00-16.00,IG Metall Warnstreik ,Kieler Flughafen,50,2021
2021-07-21 00:00:00,7.00-11.00,IG Metall Warnstreik ,Kieler Flughafen,50,2021
2021-07-23 00:00:00,12.00-16.00,"Klimakrise, Unwetterkatastrophe in NRW und RLP",Kiellinie/Landtag,15-50,2021
2021-07-24 00:00:00,13.00-14.00,Lieber anders bleibt!,Schevenbrücke,100,2021
2021-07-30 00:00:00,16.00-22.00,Dub for humanity,Sport- und Begegnungspark Gaarden,100,2021
2021-07-30 00:00:00,16.00-17.30,Brasilianerinnen gegen Bolsonaro,Kiellinie /Landtag + Rathausplatz,5,2021
2021-07-30 00:00:00,12.00-14.00,"Klimakrise, Unwetterkatastrophe in NRW und RLP",Kiellinie/Landtag,20-80,2021
2021-07-31 00:00:00,12.00-14.00,Tierschutz/gegen Massentierhaltung,Menschenkette Berliner Platz,50-200,2021
2021-07-31 00:00:00,14.00-16.30,Wir bleiben Li(e)ber Anders! - Abschiedskundgebung,Iltisstraße 34,100,2021
2021-07-31 00:00:00,10.00-13.00,Wahlkampfauftakt Bündnis 90/Die Grünen SH,Schevenbrücke,50,2021
2021-08-03 00:00:00,13.00-19.00,Massaker in Sinjar (Süd-Kurdistan),Europaplatz,30,2021
2021-08-05 00:00:00,09.15-10.15,Forderung nach einem Tarifvertrag für studentisch Beschäftigte,Landtag,20,2021
2021-08-05 00:00:00,15.30-18.00,Klimabänder - dein Wunsch an die Klimapolitik,Bahnhofsbrücke,8,2021
06.08.2021,14.00-16.00,"Klimakrise, Unwetterkatastrophe in NRW und RLP, Wahlkampf",Kiellinie/Landtag,5-60,2021
2021-08-07 00:00:00,15.00-17.00,Keine Impfungen in Schulen,Fördeblick/Kiellinie,50,2021
2021-08-13 00:00:00,14.00-16.00,Wöchentliche Mahnwache fürs Klima,Kiellinie/Landtag,30-100,2021
2021-08-14 00:00:00,14.00-18.00,Menschenrechte ,Reventlouwiese,300-1.000,2021
2021-08-14 00:00:00,09.00-14.00,Parks statt Parkplätze,Exerzierplatz 22-28,< 50,2021
2021-08-16 00:00:00,17.00-18.30,Entschlossn gegen das Abschiebegefängnis in Glückstadt,Bahnhof,25,2021
2021-08-18 00:00:00,10.30-14.00,IG Metall gestaltet Zukunft - Perspektive und Sicherheit bei CATERPILLAR,An der Schanze/Julius Fürst-Weg,10,2021
2021-08-19 00:00:00,12.00-15.00,IG Metall gestaltet Zukunft,Rendsburger Landstr. 187/191,10,2021
2021-08-19 00:00:00,19.00-20.00,"Situation in Afghanistan, Forderung zur Rettung von Gefährdeten vor Ort",Rathausplatz,100,2021
2021-08-19 00:00:00,15.15-16.45,Südspange stoppen - Antrag in der Ratsversammlung zum Thema Südspange,Kieler Schloss,200,2021
2021-08-20 00:00:00,07.30-13.30,IG Metall gestaltet Zukunft,Dr. Hell-Straße 6,10,2021
2021-08-20 00:00:00,14.00-16.00,"Klimakrise, IPCC-Report",Kiellinie/Landeshaus,15-50-,2021
2021-08-21,14.00-17.00,"Bundesweiter Aktionstag ""Wer hat der gibt"". Die Reichen sollen für die Krise zahlen.",Aufzug/Lessingplatz,500,2021
2021-08-22 00:00:00,12.15-13.15,Ohne Kerosin nach Berlin,Flensburg/Berlin,50-80,2021
2021-08-22 00:00:00,11.00-13.30,Luftbrücke jetzt! Solidarität mit Afghanistan,Aufzug/CDU Sophienblatt,500,2021
2021-08-25 00:00:00,14.30-16.30,Annalena Baerbock,Platz der Kieler Matrosen,450,2021
2021-08-25 00:00:00,13.30-14.30,"Forderungsübergabe zum Hochschulgesetz durch DGB-Jugend, junge GEW, Landesastenkonferenz und Sudents für Future",Landtag,30-150,2021
2021-08-26 00:00:00,17.00-20.00,Wahlkampfauftakt Die Linke,Vinetaplatz,200,2021
2021-08-26 00:00:00,11.30-13.00,Annalena Baerbock,Platz der Kieler Matrosen,300,2021
2021-08-26 00:00:00,14.00-18.00,Studi-Vernetzungstreffen,Hiroshimapark,20-50,2021
2021-08-27 00:00:00,19.00-21.30,Diskussion Luise Amtsberg/Ska Keller zur Europapolitik,Schevenbrücke,50,2021
2021-08-27 00:00:00,14.00-16.00,"Bildung für nachhaltige Entwicklung, Forderungen von Students for Future und Friday for Futurre zum Hochschulgesetz und zur Landtagswahl",Kiellinie/Landtag,15-50,2021
2021-08-27 00:00:00,11.45-13.00,Politische Rede von Annalena Baerbock,Platz der Kieler Matrosen,450,2021
2021-08-28 00:00:00,12.00-02.00,Raven gegen Kreuzfahrt,Ostseekai,500,2021
2021-08-30 00:00:00,17.00-18.30,Gedenken an die Toten in Abschiebehaft,Kiellinie/Landtag,25,2021
2021-09-01 00:00:00,18.00-19.00,"Anti-Kriegstag, Friedenspolitik Deutschlands vor der Wahl",Schevenbrücke,50,2021
2021-09-01 00:00:00,17.00-18.30,Gegen die wachsende Kriegsgefahr,Platz der Kieler Matrosen,20,2021
2021-09-03 00:00:00,14-16.00,Klimakrise und Gegenmaßnahmen,Kiellinie/Landtag/LT vorne?,15-50,2021
2021-09-03 00:00:00,14-16-00,Mahnwache fürs Klima - Nachhaltigkeit an Hochschulen,Kiellinie/Landtag,20-100,2021
2021-09-04 00:00:00,14.00-18.00,"Lockdown für immer? Es endet nicht, wenn wir es nicht beenden!",Aufzug/Reventlouwiese,600-1.000,2021
2021-09-08 00:00:00,09.00-12.00,Wir können auch anders! Warnstreik bei Voith Turbo Lokomotivtechnik,Uferstraße 80/Voith,50,2021
2021-09-09 00:00:00,17.00-20.00,Lieber anders bleibt!,Vinetaplatz,10-15,2021
2021-09-09 00:00:00,05.00-15.00,Streikversammlung/Demonstration,Städtisches Krankenhaus mit Aufzug,70,2021
2021-09-10 00:00:00,05.00-15.00,Streikversammlung/Demonstration,Städtisches Krankenhaus mit Aufzug,70,2021
2021-09-10 00:00:00,14.00-16.00,Klimakrise und Gegenmaßnahmen,Kiellinie/Landtag/LT vorne?,15-50,2021
2021-09-10 00:00:00,?,Turning the Tide for Climate Justice,Leuchtturm Friedrichsort,20,2021
2021-09-10 00:00:00,17.00-20.00,"Klimagerechtigketsaktivist*innenvernetzung ""Turning the Tiide for Climate Justice""",Bahnhofs-/Querkai,100,2021
2021-09-11 00:00:00,14.00-22.00,Wilhelminenstraße ist bunt,Wilhelminenstraße 11-17,100,2021
2021-09-11 00:00:00,14.00-16.00,Queere Themen bei der Bundestagswahl,Aufzug/Vinetaplatz,300,2021
2021-09-11 00:00:00,12.00-14.00,Demo in Solidarität mit Afghanistan,Aufzug/Sophienblatt (CDU),200-300,2021
2021-09-11 00:00:00,16.00-18.00,Turning the Tide ,Hafen vor Lovis,50-100,2021
2021-09-12 00:00:00,14.30-00.00,Interkulturelle Parade,Aufzug/Sport- und Begegnungspark,1.000,2021
2021-09-12 00:00:00,11.00-12.30,Gedenken an den Todesmarsch Hamburg-Kiel 1945,Gedenkstätte am Russee,100,2021
2021-09-12 00:00:00,?,Team Todenhöfer,Platz der Kieler Matrosen,500-700,2021
2021-09-15 00:00:00,18.00-22.00,Wahlkampf mit Musik,Schrevenpark,100-150,2021
2021-09-15 00:00:00,21.45.22.45,Ruhestörung und Lärmbelästigung im öffetlichen Raum nach 22 Uhr,Aufzug-Goethstr./Gutenbergstr.,50,2021
2021-09-16 00:00:00,5.00-17.00,Tarifverhandlungen Städtisches KKH Service GmbH - Streikversammlung,Städt. KKH Haupteingang/ab 14.30 Aufzug,70,2021
2021-09-17 00:00:00,14.00-16.00,Klimakrise und Gegenmaßnahmen,Kiellilnie/Landtag/LT vorne?,15-50,2021
2021-09-17 00:00:00,14.00-17.00,Klimakrise allgemein,Holtenauer Straße 27-43 Parkstreifen,15-50,2021
2021-09-17 00:00:00,16.00-22.00,Dub for Solidarity (kein Abschiebegefängnis in Glückstadt),Skatepark Gaarden,100,2021
2021-09-17 00:00:00,16.00-19.00,Inklusion und Lehrermangel,"Ministerium für Bildung, Wissenschaft und Kultur",???,2021
2021-09-17 00:00:00,14.30-18.00,Zukunft für die Industrie - Kiel steht auf für Caterpillar,Aufzug/Exerzierplatz,1.000,2021
2021-09-17 00:00:00,13.00-18.00,Internationaler Parking Day,Holtenauer Straße 158,100,2021
2021-09-17 00:00:00,12.00-17.00,Parking Day - Nachbarschaft statt Auto,Mittelstraße 23,150,2021
2021-09-17 00:00:00,15.00-17.00,"Wahl der sotialistischen Alternative ""Internationalistische Liste/MLPD""",Aufzug/ Elisabethstraße,10,2021
2021-09-17 00:00:00,18.00-19.30,"Wahl der sotialistischen Alternative ""Internationalistische Liste/MLPD""",Vinetaplatz,20,2021
2021-09-18 00:00:00,15.00-23.59,Raven gegen Kreuzfahrt,Ostseekai,500,2021
2021-09-18 00:00:00,11.00-13.00,Kinder auf's Rad! - Kidical Mass in Kiel,Aufzug/Exerzierplatz,100-200,2021
2021-09-19 00:00:00,14.00-19.00,Wahlkampf Team Todenhöfer,Platz der Kieler Matrosen,500,2021
2021-09-24 00:00:00,12.00-16.00,Klimagerechtigkeit und Bundestagswahl,Aufzug/Exerzierplatz,5.000,2021
2021-09-24 00:00:00,11.00-12.00,Zubringerdemo zum globalen Klimastreik FFF,Aufzug/Blücherplatz,100,2021
