Datum,Uhrzeit,Thema,Standort,Teilnehmer,sheet_name
2022-05-07 00:00:00,16.00-17.00,Gedenken an das Ende des 2. Weltkrieges,Kiel War Cemetry,5-10,2022
2022-05-08 00:00:00,13.30-16.00,Seenotrettung als humanitäre Pflicht,Kiellinie A6/B1,5-10,2022
2022-05-08 00:00:00,15.00-18.00,Frieden im Ukraine-Krieg/Auto-Corso,Aufzug/Exerzierplatz,1-3 Autos,2022
2022-05-09 00:00:00,18.00-21.00,Gedenken an verstorbenen Menschen in Mannheim am 2. Mai,Aufzug/Platz der Kieler Matrosen,60,2022
2022-05-12 00:00:00,10.00-12.00,Streik Sozial- und Erziehungsdienst,Aufzug/Gewerkschaftshaus,ca. 500,2022
2022-05-12 00:00:00,16.00-18.00,Internationaler Tag der Pflegenden - für bessere Arbeitsbedingungen,Platz der Kieler Matrosen ,50,2022
2022-05-14 00:00:00,11.00-13.00,Kinder aufs Rad - Kidical Mass Kiel,Aufzug/Wilhelmplatz,100-200,2022
2022-05-15 00:00:00,13.00-15.00,Drag-Walk,Aufzug/Bahnhofsplatz,ca. 50,2022
2022-05-19 00:00:00,15.00-16.30,Freiräume in Kiel,Rathausplatz,10,2022
2022-05-21 00:00:00,10.00-17.00,Verfolgung von Falun Dafa und die Verbrechen der Kommunistischen Partei Chinas,Schevenbrücke,3-5,2022
2022-05-24 00:00:00,11.00,"Freiheit für Hossein N., Abschiebegefangener in Glückstadt",Stresemannplatz 5/Neues Rathaus,10-20,2022
2022-05-25 00:00:00,13:00:00,"Freiheit für Hossein N., Abschiebegefangener in Glückstadt",Innenministerium,10-20,2022
2022-05-26 00:00:00,22:10-?,Ruhestörung verbieten,Aufzug/Schrevenpark,ca. 50,2022
2022-05-27 00:00:00,13.00-15.30,"Klimagerechtigkeit, Fridays for Future",Aufzug/Platz der Kieler Matrosen,ca. 500,2022
2022-05-28 00:00:00,14:00-16:00,"Bleiberecht für Hossein! Abschiebungen stoppen, Abschiebegefängnis schließen!",Aufzug/Sophienblatt 44-46,ca. 100,2022
2022-06-01 00:00:00,16.00-17.00,TVStud in den Koalitionsvertrag,Alter Markt 9,ca. 30,2022
2022-06-04 00:00:00,10.00-17.00,Verfolgung von Falun Dafa und die Verbrechen der Kommunistischen Partei Chinas,Schevenbrücke,3-5,2022
2022-06-04 00:00:00,12.00-14.00,Tierschutz/gegen Massentierhaltung,Reventlouwiese,10-25,2022
2022-06-09 00:00:00,17.00-18.00,Angriffe des türkischen Staates auf Südkurdistan,Asmus Bremer-Platz,30-40,2022
2022-06-10 00:00:00,20.30-24.00,Alternative Wohnformen und Freiräume in Kiel und anderswo,Germaniahafen,50,2022
2022-06-13 00:00:00,12.00-15.00,"Koalitionsverhandlungen, Klimaschutz",Landeshaus,3-15,2022
2022-06-16 00:00:00,10.00-18.00,Parking-Day,Olshausenstraße/Uni,ca. 300,2022
2022-06-18 00:00:00,11.00-15.00,Dankestelle (für Fahrradfahrer),Veloroute 10 Ecke Kronshagener Weg stadtauswärts (kl.Rasenfläche),50,2022
2022-06-18 00:00:00,14.00-16.00,Für eine friedliche Ostsee - Nein zu BALTOPS 2022,"Flandernbunker, dann Aufzug zur Kiellinie",50,2022
2022-06-22 00:00:00,09.00-19.00,Frieden schaffen ohne Waffen,Kiellinie/Rudervereine,5-10,2022
2022-06-22 00:00:00,13:30-15.00,Schleswig-Holstein braucht ein Tariftreuegesetz,vor der Wunderino-Arena,15,2022
2022-06-22 00:00:00,16.30-18.30,Singen für die Ukraine,Aufzug/Platz vor der Hörnbrücke,70,2022
2022-06-23 00:00:00,15.45-18.15,Ukrainische Kultur vorstellen,Klosterplatz 1,50,2022
2022-06-25 00:00:00,12.00-17.00,Ukrainische Kultur vorstellen,Klosterplatz 1,50,2022
2022-06-25 00:00:00,12.00-18.00,"Für Frieden, Freiheit und ein selbstbestimmtes Leben",Aufzug/Forstbaumschule,300,2022
2022-06-25 00:00:00,09.00-19.00,Frieden schaffen ohne Waffen,Kiellinie/Rudervereine,5-10,2022
2022-06-25 00:00:00,14.00-16.00,Gegen die Militarisierung der Gesellschaft und der wachsenden Kriegsgefahr,Kiellinie 215 nördlich der Seglervereinigung Kiel,10,2022
2022-06-26 00:00:00,13.00-22.00,Festval der Vielfalt,Aufzug/Werftpark,2.500-3.000,2022
2022-07-05 00:00:00,18.00-20.00,Mahnwache zum Iuventa Prozess,Landtag,30,2022
2022-07-09 00:00:00,12.00-14.00,CSD 2022,Aufzug/Rathausplatz,1.500,2022
2022-07-16 00:00:00,18.30-19.30,Cosplayparade für die Charity Convention,Aufzug/Wunderino-Arena,150,2022
2022-07-14 00:00:00,14.00-18.00,Ehrliche und ausgewogene Berichterstattung der öffentlich-rechtlichen Medien,NDR-Landesfunkhaus,100-2.000,2022
2022-07-21 00:00:00,14.00-18.00,Aktion Leuchtturm ARD,NDR-Landesfunkhaus,100,2022
2022-07-22 00:00:00,18.00-20.00,Massaker in Suruc/Türkei,Asmus Bremer-Platz,40-60,2022
2022-07-23 00:00:00,12.00-15.00,"Solidarität mit der Ukraine, raus aus Öl und Gas, Ausbau der erneuerbare Energien  ",Aufzug/Platz der Kieler Matrosen,100-2.000,2022
2022-07-23 00:00:00,14.00-14.15,Armut,Bahnhofsplatz,10,2022
2022-07-23 00:00:00,16.00-18.30,Türkische Besatzung und Flugsperrung in Rojava,Aufzug/Platz der Kieler Matrosen,200,2022
2022-07-26 00:00:00,14.30-15.30,Mahnwache wegen Repression gegen Gewerkschafter in Italien,Wilhelmplatz 2,10,2022
2022-07-29 00:00:00,11:00-22.00,Parking Day Französisches Viertel,Metzstraße,400,2022
2022-07-30 00:00:00,11.00-18.00,Bewahrung und Förderung der christlichen Grundwerte,Holstenstraße 38,13,2022
2022-08-03 00:00:00,15.00-18.00,Massaker der Jesiden in Sindschar,Schevenbrücke,ca. 50,2022
2022-08-04 00:00:00,16.00-18.00,Ehrliche und ausgewogene Berichterstattung der öffentlich-rechtlichen Medien,NDR-Landesfunkhaus,<100,2022
2022-08-06 00:00:00,12.00-14.00,Tierschutz/gegen Massentierhaltung,Berliner Platz/Wasserbecken,25,2022
2022-08-06 00:00:00,14.00-14.30,Armut,Asmus Bremer-Platz,30,2022
2022-08-06 00:00:00,17.00-22.00,Friedensritt: Aufbäumen gegen das Aufrüsten,"Hof Wittschap, Rendsburger Landstraße 510",ca. 30,2022
2022-08-06 00:00:00,17.00-18.00,Verbot und Vernichting aller Atomwaffen,Ernst Busch-Platz,10,2022
2022-08-11 00:00:00,10.00-13.00,Inklusion rockt und rollt,Aufzug(Fahrradkorso)/Halle 400,100,2022
2022-08-11 00:00:00,16.00-18.00,Ehrliche und ausgewogene Berichterstattung der öffentlich-rechtlichen Medien,NDR-Landesfunkhaus,<100,2022
2022-08-14 00:00:00,15.00-18.00,Wir schauen nicht weg - Jahrestag der Taliban-Machtübernahme,Aufzug/Platz der Kieler Matrosen,500,2022
2022-08-16 00:00:00,17.00-20.00,Active Love,Asmus Bremer-Platz,15,2022
2022-08-18 00:00:00,16.00-18.00,Ehrliche und ausgewogene Berichterstattung der öffentlich-rechtlichen Medien,NDR-Landesfunkhaus,<100,2022
2022-08-20 00:00:00,14.00-14.30,                                                                                    ,Asmus Bremer-Platz,40,2022
2022-08-20 00:00:00,17.00.18.30,Stoppt den Krieg der Türkei in Rojava,Platz der Kieler Matrosen,ca. 50,2022
2022-08-24 00:00:00,13.00-14.00,Save Ukrainian Children,Kiellinie/Landeshaus,50,2022
2022-08-24 00:00:00,18.00-20.00,Solidartät mit der Ukraine - Für eine freie und unabhängige Ukraine,Schevenbrücke,100-500,2022
2022-08-25 00:00:00,16.00-18.00,Ehrliche und ausgewogene Berichterstattung der öffentlich-rechtlichen Medien,NDR-Landesfunkhaus,<100,2022
2022-08-25 00:00:00,16.00-19.00,Ausstellung von Straßenfotos der Verbrechen der Islamistischen Faschistischen Republik im Iran,"ggü. Haupteingang Hbf, Bahnhofsvorplatz, Platz der Kieler Matrosen",30,2022
2022-08-26 00:00:00,16.00-17.00,#StandWithUkraine,Asmus Bremer-Platz,300,2022
2022-08-28 00:00:00,12.00-20.00,Grau und eng wird grün und entspannt,Teichstraße,100,2022
2022-08-30 00:00:00,17.00-18.30,Gedenktag der Toten in Abschiebehaft,Bahnhofsbrücke,20-30,2022
2022-09-01 00:00:00,16.00-17.30,Gegen die wachsende Weltkriegsgefahr,Schevenbrücke,10,2022
2022-09-01 00:00:00,16.00-18.00,Ehrliche und ausgewogene Berichterstattung der Medien,NDR-Landesfunkhaus,20,2022
2022-09-01 00:00:00,16.00-18.00,Ehrliche und ausgewogene Berichterstattung der Medien,Kieler Nachrichten,20,2022
2022-09-03 00:00:00,12.00-15.00,Silent Line - Abschaffung der Massentierhaltung,Kiellinie B6,20,2022
2022-09-04 00:00:00,10.30-12.00,Gedenkfeier Todesmarsch Hamburg-Kiel 1945,AEL Nordmark,250,2022
2022-09-05 00:00:00,15.30-19.00,Olympia-Terrormorde München 1972,Asmus Bremer-Platz,10-15,2022
2022-09-05 00:00:00,17.30-19.00,Mahnwache für Malte/Solidarität mit allen von queerfeindlicher Gewalt Betroffenen,Rathausplatz,50,2022
2022-09-08 00:00:00,16.00-18.00,Ehrliche und ausgewogene Berichterstattung der Medien,NDR-Landesfunkhaus,20,2022
2022-09-08 00:00:00,16.00-18.00,Ehrliche und ausgewogene Berichterstattung der Medien,Kieler NachrichtenN,20,2022
2022-09-09 00:00:00,09.00-09.30,Faire Honorare für freischaffende Berufsmusiker*innen,Bildungsministerium,50,2022
2022-09-10 00:00:00,12.00-14.00,87.000 dead in Mariupol,Asmus Bremer-Platz,50,2022
2022-09-15 00:00:00,13.00-15.00,Autokorso IGAP zum Tariftreuegesetz,Aufzug/Gaardener Ring,250,2022
2022-09-15 00:00:00,16.00-18.00,Ehrliche und ausgewogene Berichterstattung der Medien,NDR-Landesfunkhaus,20,2022
2022-09-15 00:00:00,16.00-18.00,Ehrliche und ausgewogene Berichterstattung der Medien,Kieler Nachrichten,20,2022
2022-09-17 00:00:00,16.00-18.30,Queere Befreiung geht nur solidarisch,Aufzug/Sophienblatt 44,150,2022
2022-09-17 00:00:00,09.00-13.00,Für bessere Arbeitsbedingungen im Sozial- und Erziehungsdienst,Berliner Platz/Wasserbecken,15,2022
2022-09-17 00:00:00,12.00-16.00,"Parking Day Weg vom Auto, hin zum ÖPNV",Möllingstraße 24,3-5,2022
2022-09-17 00:00:00,12.00-16.00,ParkingDay,Möllingstraße 22,2(!)-5,2022
2022-09-17 00:00:00,12:05-13.00,Armut,Schevenbrücke,50,2022
2022-09-20 00:00:00,09.30-11.30,Streik der Beschäftigten des privaten Omnibusgewerbes,Aufzug/Platz der Kieler Matrosen,ca. 500,2022
2022-09-21 00:00:00,18.30-20.00,Gedenken für Masha Amini,Asmus Bremer-Platz,50,2022
2022-09-22 00:00:00,16.00-18.00,Ehrliche und ausgewogene Berichterstattung der Medien,NDR-Landesfunkhaus,20,2022
2022-09-22 00:00:00,16.00-18.00,Ehrliche und ausgewogene Berichterstattung der Medien,Kieler Nachrichten,20,2022
2022-09-23 00:00:00,13.15-14.00,10. Globaler Klimastreik,Christian Albrechts-Platz,50,2022
2022-09-23 00:00:00,14.00-19.00,"Klimagerechtigkeit, steigender Meeresspiegel, Fridays for Future",Reventlouwiese + Aufzug,3.000,2022
2022-09-23 00:00:00,13.00-19.00,Lieber Wasser unterm Kiel als Kiel unter Wasser,Kiellinie,40,2022
2022-09-23 00:00:00,13.15-14.00,Globaler Klimastreik,Auzug/Exerzierplatz,100,2022
2022-09-24 00:00:00,14.00-15.00,Gemeinsam für Kinderrechte,Aufzug/Platz der Kinderrechte,25,2022
2022-09-26 00:00:00,18.00-19.30,"""Friedensdemo""",Aufzug/Asmus Bremer-Platz,40,2022
2022-09-27 00:00:00,18.00-20.00,Gegen steigende Energiepreise ,Platz der Kieler Matrosen,100,2022
2022-09-28 00:00:00,17.00-19.00,Safe Abortion Day,Platz der Kieler Matrosen,50-150,2022
2022-09-28 00:00:00,17.00-18.30,Frieden schaffen ohne Waffen,Holstenbrücke Ecke Bootshafen,3,2022
2022-09-28 00:00:00,16.00-18.00,Menschenrechtssituation Iran,Landtag,150-200,2022
2022-09-29 00:00:00,16.00-18.00,Ehrliche und ausgewogene Berichterstattung der Medien,NDR-Landesfunkhaus,20,2022
2022-09-29 00:00:00,16.00-18.00,Ehrliche und ausgewogene Berichterstattung der Medien,Kieler Nachrichten,20,2022
2022-10-01 00:00:00,12.00-18.00,Aufklärung über den politischen Islam,Rathausplatz,25-50,2022
2022-10-01 00:00:00,15.00-17.00,Solidarität mit den Protesten gegen das Mullahregime im Iran,"Aufzug, Platz der Kieler Matrosen",100,2022
2022-10-01 00:00:00,12.00-15.00,Silent Line - Abschaffung der Massentierhaltung,Berliner Platz Wasserbecken,20,2022
2022-10-03 00:00:00,18.00 - 19.30,"""Friedensdemo""","Aufzug, Asmus-Bremer-Platz",50,2022
2022-10-06 00:00:00,16.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",NDR-Landesfunkhaus,ca. 20,2022
2022-10-06 00:00:00,16.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",Kieler Nachrichten,ca. 20,2022
2022-10-10 00:00:00,12.30-14.00,Kundgebung OVN,Faluner Weg 2 (Veranstaltungszentrum),300-500,2022
2022-10-12 00:00:00,13.00-17.00,Kurdische Genossen -  Zelt und Unterschriften sammeln,Schevenbrücke,ca. 20,2022
2022-10-13 00:00:00,16.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",NDR-Landesfunkhaus,ca. 20,2022
2022-10-13 00:00:00,16.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",Kieler Nachrichten,ca. 20,2022
2022-10-14 00:00:00,17.00-19.00,Solidaritätsbekundung mit der Ukraine,Aufzug/Hauptbahnhof,300-600,2022
2022-10-15 00:00:00,12.50-15.30,"Preise runter, löhne rauf!",Langer Rehm 22/REWE,10,2022
2022-10-17 00:00:00,16.00-18.00,Preise runter - Die Reichen zur Kasse!,Kirchhofallee,5,2022
2022-10-18 00:00:00,17:30-19.00,Gegen Chemiewaffeneinsaätze der Türkei,Hauptbahnhof,50,2022
2022-10-19 00:00:00,13.00-17.00,Kurdische Genossen -  Zelt und Unterschriften sammeln,Asmus-Bremer-Platz,ca.20,2022
2022-10-20 00:00:00,16.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",NDR-Landesfunkhaus,ca. 20,2022
2022-10-20 00:00:00,16.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",Kieler Nachrichten,ca. 20,2022
2022-10-21 00:00:00,17.00-19.00,Preise runter - Die Reichen zur Kasse!,Vinetaplatz,50,2022
2022-10-21 00:00:00,14.00-18.00,Wärmewende regional voranbringen,Asmus Bremer-Platz,50,2022
2022-10-22 00:00:00,13.00-16.00,Preise runter - die Reichen zur Kasse!,Aufzug/Schevenbrücke,200,2022
2022-10-22 00:00:00,15.00-16.45,Politik führt uns in die Armut,Aufzug/Asmus Bremer-Platz,50,2022
2022-10-22 00:00:00,15.00-17.00,"Friedensdemo ""die Basis""",Aufzug/Asmus Bremer-Platz,50,2022
2022-10-24 00:00:00,18.00-19.45,Politik führt uns in die Armut,Aufzug/Asmus Bremer-Platz,90,2022
2022-10-23 00:00:00,15:00-17.30,"Coronapolitik, Inflation, Außenpolitik, Deutsche Interessen",Aufzug/Rathausplatz,500,2022
2022-10-26 00:00:00,13.00-17.00,Kurdische Genossen -  Zelt und Unterschriften sammeln,Schevenbrücke,ca.20,2022
2022-10-27 00:00:00,16.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",NDR-Landesfunkhaus,ca. 20,2022
2022-10-27 00:00:00,16.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",Kieler Nachrichten,ca. 20,2022
2022-10-27 00:00:00,18.00-19.45,Politik führt uns in die Armut,Aufzug/Asmus Bremer-Platz,60,2022
2022-10-29 00:00:00,16.00-20.00,Iran,Aufzug/Rathausplatz,200-600,2022
2022-10-29 00:00:00,15.00-16.45,Politik führt uns in die Armut,Aufzug/Schevenbrücke,50,2022
2022-10-29 00:00:00,16.00-18.00,Solidarität mit den Iraner*innen im Kampf gegen die Diktatur,Aufzug/Stresemannplatz,400,2022
2022-10-31 00:00:00,18.00-19.45,Politik führt uns in die Armut,Aufzug/Asmus Bremer-Platz,50,2022
2022-11-02 00:00:00,13.00-15.00,Campuskundgebung - Solidarität mit dem Iran,Christian Albrechts-Platz,400,2022
2022-11-02 00:00:00,13.00-17.00,Kurdische Genossen -  Zelt und Unterschriften sammeln,Asmus-Bremer-Platz,ca. 20,2022
2022-11-03 00:00:00,16.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",NDR-Landesfunkhaus,20-40,2022
2022-11-03 00:00:00,16.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",NDR-Landesfunkhaus,20-40,2022
2022-11-05 00:00:00,12.00-15.00,Tierwohl,Kichhofallee 68/LIDL,10,2022
2022-11-05 00:00:00,15.00-16.45,Politik führt uns in die Armut,Aufzug/Hafenstraße,40,2022
2022-11-06 00:00:00,15.00-18.00,"Coronapolitik, Inflation, Außenpolitik, Deutsche Interessen",Rathausplatz,500,2022
2022-11-07 00:00:00,19.00-20.00,Mahnwache gegen queerfeindliche Gewalt,Ziegelteich/Hopfenstraße,50,2022
2022-11-07 00:00:00,18.00-19.45,Politik führt uns in die Armut,Aufzug/Hafenstraße,40,2022
2022-11-10 00:00:00,16.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",NDR-Landesfunkhaus,20-40,2022
2022-11-10 00:00:00,16.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",Kieler Nachrichten,20-40,2022
2022-11-10 00:00:00,18.00-19.45,Politik führt uns in die Armut,Aufzug/Andreas Gayk-Str./Hafenstr.,30,2022
2022-11-12 00:00:00,15.00-18.00,Solidarität mit Iran,Aufzug/Platz der Kieler Matrosen,1.000-2.000,2022
2022-11-12 00:00:00,15.00-16.45,Politik führt uns in die Armut,Aufzug/Hafenstraße,30,2022
2022-11-14 00:00:00,18.00-19.45,Politik führt uns in die Armut,Aufzug/Exerzierplatz,40,2022
2022-11-16 00:00:00,09.30-10.30,Warnstreik IG Metall,Aufzug/Adolf Westphal-Str.2,300,2022
2022-11-16 00:00:00,09.30-10.30,Warnstreik IG Metall,Aufzug TKMS,1.000,2022
2022-11-16 00:00:00,10.30-14.00,Warnstreik IG Metall,Sternmärsche/Aufzug Platz der Kieler Matrosen/Wilhelmplatz,2500,2022
2022-11-17 00:00:00,16.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",NDR-Landesfunkhaus,20-40,2022
2022-11-17 00:00:00,16.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",NDR-Landesfunkhaus,20-40,2022
2022-11-19 00:00:00,12.45-15.30,"Preise runter, löhne rauf!",Langer Rehm 22/REWE,15,2022
2022-11-19 00:00:00,15.00-17.15,Politik führt uns in die Armut,Aufzug/Exerzierplatz,300,2022
2022-11-19 00:00:00,11.00-15.00,"Ukraine-Krieg, Allgemeine Kriegsgefahr",Berliner Platz/Holstenstraße,200,2022
2022-11-19 00:00:00,15.00-17.00,Solidarität mit der Revolution im Iran 2022,Aufzug/Platz der Kieler Matrosen,500,2022
2022-11-19 00:00:00,12.00-13.00,European Border Action Amnesty International,Howe-Haus/Schevenbrücke,20,2022
2022-11-20 00:00:00,16.00-17.00,Gegen die wachsende Weltkriegsgefahr,Schrevenpark,10,2022
2022-11-21 00:00:00,17.00-18.00,Mahnwache an den am 14.11.2022 verstorbenen Radfahrer,Hasseldieksdammer weg/Chemnitzstraße,ca. 50,2022
2022-11-21 00:00:00,17.00-18.00,Türkische Angriffe auf Kurden in Nordsyrien,Platz der Kieler Matrosen,ca. 100,2022
2022-11-21 00:00:00,18.00-19.45,Politik führt uns in die Armut,Aufzug/Exerzierplatz,40,2022
2022-11-23 00:00:00,18.00.21.00,Gedenken an den Brandanschlag von Mölln,Aufzug/Berliner Platz,500,2022
2022-11-23 00:00:00,17.00-18.00,Türkische Angriffe auf Kurden in Nordsyrien,Platz der Kieler Matrosen,100-150,2022
2022-11-24 00:00:00,16.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",NDR-Landesfunkhaus,20-40,2022
2022-11-24 00:00:00,16.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",Kieler Nachrichten,20-40,2022
2022-11-24 00:00:00,13.00-15.00,Autokorso IGAP zum Tariftreuegesetz,Auifzug/Gaardener Ring,250,2022
2022-11-24 00:00:00,18.00-19.30,Politik führt uns in die Armut,Aufzug/Exerzierplatz,30,2022
2022-11-25 00:00:00,16.45-18.15,Orange Walk/Nein zur Gewalt an Frauen,Aufzug/Holstenstr. 108,100,2022
2022-11-25 00:00:00,17.45-19.15,Gewalt gegen Eine* ist Gewalt gegen uns alle!,Holstenstraße,150,2022
2022-11-15 00:00:00,17.00-18.00,Resourcenverschwendung/-schutzgesetz,Aufzug/Lange Reihe,3-5,2022
2022-11-26 00:00:00,15.00-17.00,Politik führt uns in die Armut,Aufzug/Exerzierplatz,100,2022
2022-11-26 00:00:00,15.45-17.45,Gedenken an Opfer des russischen Angriffskrieges ond des Holodomors (1932-33),Schumacherstraße/St. Nikolai,200-500,2022
2022-11-26 00:00:00,14.00-17.00,Völkerrechtswidriger Angriffskrieg der Türkei in Rojava,Aufzug/Bootshafen,300,2022
2022-11-28 00:00:00,18.00-19.45,Politik führt uns in die Armut,Aufzug/Exerzierplatz,40,2022
2022-11-29 00:00:00,10.30-11.30,ÖPNV-Finanzierung/VK Verkehrsminister ,Landeshaus,20-80,2022
2022-11-29 00:00:00,16.00-18.00,Preise runter - Die Reichen zur Kasse!,Famila Mettenhof,10,2022
2022-11-30 00:00:00,17.00-19.00,Preise runter - Die Reichen zur Kasse!,Vinetaplatz,50,2022
2022-11-30 00:00:00,15.00-16.00,Kiellinie Nord für mehr Aufenthaltsqualität nutzen,Kiellinie (Bellvue/WSA),15,2022
2022-12-01 00:00:00,18.00-19.00,Lichtergang Welt-AIDS-Tag,Aufzug/Stresemannplatz,25,2022
2022-12-01 00:00:00,16.30-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",NDR-Landesfunkhaus,20,2022
2022-12-01 00:00:00,17.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",Kieler Nachrichten,20,2022
2022-12-02 00:00:00,17.00-18.00,Türkische Angriffe auf Kurden in Nordsyrien,Hauptbahnhof/Sophienblatt,   ,2022
2022-12-03 00:00:00,15.00-17.30,Politik führt uns in die Armut,Aufzug/Exerzierplatz,50,2022
2022-12-03 00:00:00,13.00-16.00,Preise runter - Die Reichen zur Kasse!,Aufzug/Bootshafen,300,2022
2022-12-03 00:00:00,12.00-15.00,Tierschutz/gegen Massentierhaltung,Berliner Platz/Holstenstraße,15,2022
2022-12-05 00:00:00,18.00-19.45,Politik führt uns in die Armut,Aufzug/Exerzierplatz,25,2022
2022-12-08 00:00:00,16.30-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",NDR-Landesfunkhaus,20,2022
2022-12-08 00:00:00,17.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",Kieler Nachrichten,20,2022
2022-12-10 00:00:00,15.00-17.00,Politik führt uns in die Armut,Aufzug/Exerzierplatz,40,2022
2022-12-10 00:00:00,17.30-18.30,Solidartät mit iranischer Revolution,Hafenstraße,10-150,2022
2022-12-10 00:00:00,19.00-20.00,Gedenkveranstaltung an Mohsen Shekari,St. Nikolai-Kirche,150,2022
2022-12-11 00:00:00,14.45-15.30,Friedenslicht aus Betlehem,Aufzug/Hauptbahnhof,350-400,2022
2022-12-12 00:00:00,18.00-19.45,Politik führt uns in die Armut,Aufzug/Exerzierplatz,40,2022
2022-12-14 00:00:00,14.30-16.30,Wohnraummangel von Studierenden in Kiel,Landeshaus,50,2022
2022-12-14 00:00:00,17.00-20.00,Gefangen auf der Mittelinsel! Wünsche für bessere Bedingungen für den Fußverkehr,Holstenstraße/Ziegelteich,mind. 5,2022
2022-12-14 00:00:00,13.30-16.30,"""Sondermahnwache"": Redlicher, unabhängiger und multipolarer Journalismus",NDR-Landesfunkhaus,max. 40,2022
2022-12-15 00:00:00,17.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",Kieler Nachrichten,20,2022
2022-12-17 00:00:00,15.00-18.00,Für mehr Menschlichkeit auf dem Mittelmeer,Bootshafen,50,2022
2022-12-17 00:00:00,11.00-15.00,"Ukraine-Krieg, Friedenspolitik allgemein",Holstenstraße/Berliner Platz,max. 50,2022
2022-12-17 00:00:00,11.30-15.00,Motorradfahrer für Pflegekräfte/Fördelütten e. V.,Aufzug Konrad Adenauer-Damm 2,500,2022
2022-12-17 00:00:00,15.00-17.00,Politik führt uns in die Armut,Aufzug/Exerzierplatz,40,2022
2022-12-17 00:00:00,15.00-16.00,Solidarität mit dem Iran,Aufzug/Gaardener Ring,ca. 100,2022
2022-12-19 00:00:00,18.00-18.45,Politik führt uns in die Armut,Aufzug/Exerzierplatz,30,2022
2022-12-22 00:00:00,16.30-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",NDR-Landesfunkhaus,20,2022
2022-12-22 00:00:00,17.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",Kieler Nachrichten,20,2022
2022-12-23 00:00:00,14.30-18.00,Motorradfahrer für Pflegekräfte/Fördelütten e. V.,Aufzug Konrad Adenauer-Damm 2,500,2022
2022-12-27 00:00:00,17.00-19.00,Anschlag in kurdische Verein in Paris,Schevenbrücke,ca. 100,2022
2022-12-29 00:00:00,16.30-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",NDR-Landesfunkhaus,max. 40,2022
2022-12-31 00:00:00,21.00-01.00,Freiheit für alle Gefangenen - Knäste abschaffen,JVA Kiel,30,2022
